Gene	mean_adj_r_sq	max_adj_r_sq	mean_cor	cor_value	cor_pvalue	cor_padj_BH
ENST00000669509.1	0.0586545019553573	0.0804672980526198	0.129383763061347	-0.569968640294018	0.0853927682574722	0.09329950605909
ENST00000669082.1	0.0562905164352509	0.071035691185782	0.112410456644596	-0.932589148504635	8.32387111977673e-05	0.000294665037640096
ENST00000689722.1	0.0553697932153392	0.0711566437694736	0.0757796162909279	-0.934834300687913	7.2892268179568e-05	0.000263304723832317
ENST00000669407.2	0.0545316195584545	0.0697563824781126	0.197510558401518	-0.984084563531217	2.75380765123042e-07	5.97466534092616e-06
ENST00000670602.1	0.053732940403238	0.0679684707381066	0.159410034744381	-0.79555312262625	0.00592345550368795	0.00845525503349006
ENST00000660781.1	0.0530499441509162	0.0661790098709909	0.148898862717104	-0.96246748352733	8.29684363329817e-06	6.67518783224443e-05
ENST00000655594.1	0.0524020083288324	0.0642628085444549	0.137457961733734	-0.640289162672098	0.0461252278022771	0.0523343930833529
ENST00000653406.1	0.0516348759779066	0.0676680540723611	0.13092762266439	-0.756018835568355	0.0114090833087481	0.0154153263026596
ENST00000523427.2	0.0512786285700063	0.0552900331795473	0.110845337187892	-0.731861447918249	0.0161207906999398	0.020809190108987
ENST00000664214.1	0.0512756698436568	0.0636653490464864	0.0625790537791972	-0.831395366860274	0.00286925490890664	0.00445489577961821
ENST00000667418.1	0.051064224705214	0.0626229758510951	0.132853192387873	-0.8411048117275	0.00229147331816829	0.003589298914299
ENST00000701558.1	0.0482410494947266	0.061323205730188	0.123034757165458	-0.923982291071669	0.000133186121462446	0.000399558364387338
ENST00000522414.2	0.0468573045418893	0.0646936798783053	0.125799250713834	-0.851543034011219	0.00176944241798676	0.00289991951836719
ENST00000659892.1	0.0465667021067131	0.0708396690301857	0.168175788161932	-0.959892262568098	1.07853288517309e-05	8.20481843704949e-05
ENST00000660069.1	0.0451478991746964	0.0597917784781704	0.171014508700863	-0.948430418826149	2.90683155536913e-05	0.000143527138492895
ENST00000657289.1	0.0417146142421213	0.0505295583028388	0.142445942650514	-0.984413552869962	2.53408023225136e-07	5.97466534092616e-06
ENST00000653497.1	0.0407733195698511	0.0596051316203907	0.0910972336408882	-0.918949166814656	0.00017105244286253	0.00045873155131315
ENST00000665856.1	0.0402463865926117	0.0474865152285521	0.124012592165318	-0.70363842610772	0.0231663061929526	0.0280851794257029
ENST00000652993.1	0.040032182280482	0.0548266168854822	0.158254613898189	-0.530822496410362	0.11440843102783	0.121989712601963
ENST00000652695.1	0.0397811518463439	0.0502739890795985	0.111155626472451	-0.910621908249304	0.000250348192384533	0.000598805811514356
ENST00000656396.1	0.0371385918724118	0.0539318601591366	0.0696451043666708	-0.967043383701097	4.95985010265948e-06	5.85262312113818e-05
ENST00000650930.1	0.0326588685072571	0.0504023865055806	0.0841924719804831	-0.878545858136829	0.000820132412680592	0.00154429188345175
ENST00000656168.1	0.0312395879579671	0.039009144957306	0.0853185037164632	-0.880718336058752	0.000765091859405589	0.00152158718106505
ENST00000657112.1	0.0306186210367809	0.0425065592926983	0.128132887222181	-0.91152577340111	0.000240643486273302	0.000591479687354765
