Gene	mirnaTG
ENSG00000135870.12	yes
ENSG00000198198.17	no
ENSG00000139645.11	yes
ENSG00000181817.6	no
ENSG00000253710.5	no
ENSG00000108848.16	yes
ENSG00000185621.11	no
ENSG00000198642.7	no
ENSG00000142207.7	no
ENSG00000186017.16	no
ENSG00000137161.18	no
ENSG00000047188.16	no
ENSG00000111911.7	no
ENSG00000159352.16	no
ENSG00000138767.14	no
ENSG00000197312.13	no
ENSG00000136451.9	yes
ENSG00000086712.13	no
ENSG00000197081.16	no
ENSG00000132432.14	no
ENSG00000197429.11	no
ENSG00000089050.16	no
ENSG00000152127.9	no
ENSG00000116731.23	yes
ENSG00000134982.18	yes
ENSG00000138468.16	no
ENSG00000113712.19	no
ENSG00000153391.16	no
ENSG00000198182.13	no
ENSG00000286724.1	no
ENSG00000169045.19	yes
ENSG00000198677.13	no
ENSG00000185946.16	no
ENSG00000143756.12	yes
ENSG00000116984.15	no
ENSG00000178691.11	yes
ENSG00000060237.19	yes
ENSG00000100580.8	no
ENSG00000087299.12	no
ENSG00000170776.22	no
ENSG00000168944.17	yes
ENSG00000160336.17	no
ENSG00000152749.8	no
ENSG00000130724.10	no
ENSG00000127946.17	no
ENSG00000049239.13	yes
ENSG00000156467.10	yes
ENSG00000083535.16	no
ENSG00000128563.13	no
ENSG00000165502.7	no
ENSG00000137760.15	no
ENSG00000269958.1	no
ENSG00000107938.18	no
ENSG00000251247.13	no
ENSG00000167978.19	yes
ENSG00000153107.13	yes
ENSG00000131495.9	no
ENSG00000006607.14	no
ENSG00000143156.14	no
ENSG00000160007.20	yes
ENSG00000135828.11	no
ENSG00000118620.13	no
ENSG00000113966.11	no
ENSG00000167397.15	no
ENSG00000113595.15	no
ENSG00000136628.18	no
ENSG00000197019.5	no
ENSG00000085224.23	yes
ENSG00000060749.17	yes
ENSG00000171503.13	no
ENSG00000130520.11	no
ENSG00000123552.18	no
ENSG00000112282.18	no
ENSG00000135968.22	no
ENSG00000147155.11	no
ENSG00000130244.13	no
ENSG00000145743.18	no
ENSG00000182827.9	yes
ENSG00000289194.1	no
ENSG00000188295.15	no
ENSG00000051620.11	yes
ENSG00000185658.14	no
ENSG00000197782.15	no
ENSG00000163625.17	yes
ENSG00000126453.11	no
ENSG00000109189.13	no
ENSG00000128524.5	no
ENSG00000149806.11	no
ENSG00000134698.11	no
ENSG00000152223.16	yes
ENSG00000103222.20	no
ENSG00000120533.13	no
ENSG00000136144.12	yes
ENSG00000135090.14	yes
ENSG00000143337.19	yes
ENSG00000157107.14	yes
ENSG00000148399.13	no
ENSG00000180357.10	yes
ENSG00000136643.12	no
ENSG00000113615.13	yes
ENSG00000066084.13	yes
ENSG00000205138.4	no
ENSG00000177119.17	yes
ENSG00000170906.16	no
ENSG00000178307.10	no
ENSG00000048707.15	no
