	ss34	ss32	ss33	ss26	ss31	ss17	ss19	ss30	ss25	ss18	ss11	ss24	ss23	ss28	ss22	ss21	ss20	ss27	ss8	ss15	ss14	ss29	ss16	ss7	ss4	ss13	ss12	ss3	ss5	ss2	ss6	ss10	ss1	ss9	label	IntronRet
c058aa43-349b-4f45-8217-6b193bf7c610	0.76	0.7659574468085106	0.945945945945946	0.9629629629629628	0.972972972972973	0.9714285714285714	1.0	0.9318181818181818	1.0	1.0	1.0	1.0	1.0	0.9090909090909092	1.0	1.0	1.0	0.9090909090909092	0.9583333333333334	1.0	1.0	0.975609756097561	1.0	0.9583333333333334	1.0	1.0	1.0	0.9565217391304348	1.0	0.96	1.0	1.0	1.0	0.9629629629629628	Control	0.577754348972061
466a4121-0583-47ee-9d54-1f1c2d47e381	0.8536585365853658	0.7027027027027027	0.9117647058823528	0.9166666666666666	0.8235294117647058	0.96	1.0	0.9090909090909092	1.0	1.0	0.8333333333333334	1.0	1.0	0.935483870967742	1.0	0.9411764705882352	1.0	0.9666666666666668	1.0	0.9767441860465116	1.0	0.967741935483871	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Control	0.626398852223816
d81b8303-62b4-46ba-9370-8c6a92cfa4fb	0.8043478260869565	0.875	0.9285714285714286	0.9130434782608696	0.9032258064516128	0.8571428571428571	1.0	0.935483870967742	1.0	0.9545454545454546	0.967741935483871	0.9545454545454546	0.9545454545454546	0.935483870967742	0.9545454545454546	1.0	0.9545454545454546	0.935483870967742	1.0	1.0	1.0	1.0	0.9583333333333334	1.0	1.0	1.0	0.9782608695652174	1.0	1.0	1.0	1.0	1.0	0.9666666666666668	1.0	Control	0.641958790473642
a41a8b37-2a35-487f-8a4d-ffa0f31b7839	0.7575757575757576	0.7727272727272727	1.0	0.8571428571428571	0.8947368421052632	0.8888888888888888	1.0	1.0	0.9	0.9523809523809524	0.9285714285714286	0.9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9285714285714286	1.0	0.8666666666666667	1.0	1.0	1.0	1.0	Control	0.706392547381947
05f4836a-8db8-4dbc-a996-090887bf8a64	0.7959183673469388	0.7115384615384616	0.9318181818181818	0.972972972972973	0.9347826086956522	0.8888888888888888	1.0	0.9090909090909092	0.972972972972973	0.9696969696969696	0.9285714285714286	0.9487179487179488	1.0	1.0	1.0	1.0	1.0	1.0	0.9534883720930232	1.0	0.9838709677419356	0.9523809523809524	1.0	0.9761904761904762	0.975609756097561	0.9682539682539684	0.9838709677419356	1.0	1.0	1.0	1.0	1.0	0.975	1.0	Control	0.602347324447981
da549530-7ba5-4302-acd2-40a766860216	0.8032786885245902	0.8591549295774648	0.9444444444444444	0.9298245614035088	0.9041095890410958	0.8936170212765957	1.0	1.0	1.0	1.0	0.9555555555555556	1.0	0.981132075471698	1.0	0.981132075471698	1.0	0.98	1.0	1.0	0.9696969696969696	0.9411764705882352	1.0	0.9836065573770492	1.0	1.0	0.9696969696969696	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Control	0.572806398494472
d28a7c02-2f33-46e2-bff9-5ed518ea6fb6	0.8148148148148148	0.8918918918918919	1.0	0.967741935483871	1.0	0.9565217391304348	1.0	1.0	1.0	1.0	0.9565217391304348	0.9393939393939394	1.0	0.9166666666666666	1.0	1.0	0.96875	0.9166666666666666	0.9523809523809524	1.0	1.0	1.0	1.0	0.9523809523809524	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Control	0.545761282159426
570b216f-f99d-4be8-b179-48c8d30c6c06	0.875	0.7941176470588235	1.0	0.9666666666666668	0.90625	0.9696969696969696	1.0	0.9705882352941176	1.0	0.9642857142857144	1.0	1.0	1.0	1.0	1.0	1.0	0.9642857142857144	1.0	1.0	1.0	1.0	0.9705882352941176	0.9166666666666666	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9230769230769232	1.0	Control	0.565846599131693
d7d4b68a-ab93-4b9c-9cf6-88f15299e306	0.7407407407407407	0.8	0.88	0.8928571428571429	0.9615384615384616	1.0	0.9642857142857144	0.9565217391304348	0.925925925925926	1.0	0.9428571428571428	0.9615384615384616	1.0	1.0	1.0	1.0	1.0	1.0	0.96875	1.0	0.979591836734694	1.0	0.9666666666666668	1.0	1.0	0.979591836734694	1.0	0.96875	1.0	1.0	1.0	1.0	0.9393939393939394	1.0	Control	0.604147322810275
7b4b9d66-e494-48e8-949f-7cdb42e490f9	0.647887323943662	1.0	1.0	0.9615384615384616	1.0	0.8888888888888888	1.0	0.5909090909090909	0.9615384615384616	1.0	1.0	0.8771929824561403	1.0	1.0	1.0	1.0	1.0	1.0	0.9636363636363636	0.9357798165137616	1.0	1.0	0.9672131147540984	0.9636363636363636	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Control	0.595023010056247
