Gene	aver_adj_r_sq	max_adj_r_sq	mean_cor	cor_value	cor_pvalue	cor_padj_BH
ENSG00000160862.13	0.00499097231470296	0.0116667008820562	0.0528430602236509	-0.905640845008263	0.000309079583454532	0.000649274514262893
ENSG00000258743.8	0.00499061989554257	0.0139358056437315	0.0134199142930651	-0.940871339164097	4.97756314336241e-05	0.000170483469515452
ENSG00000185689.17	0.00498882434566241	0.0152783686735534	0.00741238558603319	-0.735595637742621	0.0153171283674269	0.018688530273937
ENSG00000231233.3	0.00498517927943848	0.0135665042987213	0.0475266626360035	-0.819831342320048	0.00368615315892375	0.00514362830899832
ENSG00000249641.2	0.00498475158000752	0.0092480096025056	0.0672147838604026	-0.859794912694415	0.00142242149534632	0.00225101510873423
ENSG00000285644.1	0.00497719633105954	0.0171096266734784	-0.00639850654543715	-0.795988404149875	0.00587648501724423	0.00779870210224381
ENSG00000260799.1	0.00497611801291578	0.0172036662043488	-0.0569380880918974	-0.873500183863241	0.000959047640042776	0.00161182416247694
ENSG00000104687.14	0.0049648544876183	0.014668199086135	0.0155634147600532	-0.920984585398617	0.000154895697784352	0.000384123919507448
ENSG00000119686.10	0.00496411763789605	0.0222367344373682	0.000659278229444024	-0.940237692084242	5.19034807355979e-05	0.000175398556835931
ENSG00000272824.1	0.00495260443995412	0.01609301366604	-0.0297035758408453	-0.761838235478336	0.0104384689582296	0.0131387990836154
ENSG00000287054.1	0.00495086117426111	0.0243421043741939	0.0111549255473103	-0.94205462055399	4.59758758709479e-05	0.000161296783056107
ENSG00000102145.16	0.00495037758918213	0.026542175291277	0.0511990033386386	-0.950642836696609	2.44579983630434e-05	0.00010650418658386
ENSG00000204913.7	0.00495010527330123	0.0202767844237353	0.0214305295721459	-0.906915046922161	0.000293183595085486	0.000623146277278103
ENSG00000083635.8	0.00494420256270569	0.0143958108793484	0.0109864799610275	-0.744984684912557	0.0134205040797377	0.0165522944340079
ENSG00000211794.3	0.00494336783825304	0.0193664128506019	-0.0807224107793069	-0.546341599345465	0.102261026795425	0.110981599951873
ENSG00000138083.5	0.00493777220578881	0.0170627306639795	0.0233406206875242	-0.855524538634076	0.00159515305678708	0.00248514138197604
ENSG00000249306.7	0.00493672947925875	0.012430454297745	0.0806257834804515	-0.92961822502658	9.85504585214889e-05	0.000274846773124445
ENSG00000274717.1	0.00493455158302908	0.0210830531133953	-0.0199967882027836	-0.892685767506389	0.000508807923018324	0.000959493883525671
ENSG00000256148.1	0.00492612353561868	0.0175632131219244	0.0737214729046182	-0.398056326987162	0.254599044443217	0.266118466521747
ENSG00000263417.6	0.00492542636816962	0.0144661032842952	-0.0083655469980727	-0.90821033618787	0.000277648588881672	0.000597195819274945
ENSG00000279130.1	0.00492524137482527	0.0185721737745402	0.00696133382139312	-0.988663215548682	7.12881101363337e-08	7.79781520397828e-06
ENSG00000275569.1	0.00492522871477625	0.0215623811915938	0.03276201903877	-0.802732896285042	0.00518212698115494	0.00696914512417524
ENSG00000272109.2	0.0049213568688258	0.0215604168906748	-0.0150653112949131	-0.695387914718791	0.0255702253051513	0.0300436529595331
ENSG00000244005.13	0.0049204736094985	0.0136793605993969	0.0281432709672407	-0.848587776118895	0.00190743077611311	0.00289436572742843
ENSG00000211914.1	0.00490753512303307	0.0147208328012807	0.0441414218895499	-0.89554961711933	0.000458265541959538	0.000882356624389209
ENSG00000132964.13	0.00490018331812417	0.0137208695758938	0.0374657874959669	-0.87983524136352	0.000787129270170299	0.00137062023721671
ENSG00000248896.3	0.00489887481557059	0.0114111593572979	0.139208216070025	-0.450440528204533	0.191420922144349	0.202189249103088
ENSG00000230570.1	0.00489683739318334	0.0174291172580304	0.0133159179670245	-0.768033719201077	0.00947060289113689	0.0120180160845746
ENSG00000244361.1	0.0048957505306938	0.0211854297896629	-0.000344179938562768	-0.939481695872855	5.45294589407051e-05	0.000181549196152839
ENSG00000149090.13	0.00489284077219785	0.0191871517730327	0.0222962305061902	-0.973946787797335	1.9533507158351e-06	2.60618330712737e-05
ENSG00000291029.1	0.00489268114543862	0.0130663079908337	0.0840182335565635	-0.956895906291312	1.43353765172381e-05	7.70716752807541e-05
ENSG00000290105.1	0.00489117522369578	0.0107601947141792	0.0174670547738244	0.104372774997158	0.774155534568162	0.780192573616772
ENSG00000133985.3	0.00489099126192858	0.0151759017160991	0.0639284623544308	-0.920626031701757	0.000157656545648633	0.0003891271955769
ENSG00000215612.8	0.00489076513896223	0.0244506219792199	0.0223398021212145	-0.927795314978692	0.000108919055477615	0.000295410656756789
ENSG00000228212.1	0.00488948893810679	0.0125472237853066	0.0340758179746023	-0.858069215579996	0.00149049855151261	0.00234380555750789
ENSG00000156076.10	0.00488750100958991	0.0220524774727625	0.0422465425953596	-0.788033497904091	0.00677770779226501	0.00887084455187463
ENSG00000169359.16	0.00488730448246888	0.0125131275215211	0.0702044147202964	-0.854971023040731	0.00161860401545917	0.00251452681950947
ENSG00000057019.16	0.00488642780186137	0.0278422314059754	0.0173771233250269	-0.851261643694493	0.00178225969745813	0.00273072351185026
