id	filename	md5	size	state
6b4dbadf-f564-4dd2-9deb-bb5874b68b38	24ac0a64-f3e6-4b60-9e16-004f700c92b3.wxs.MuTect2.aliquot.maf.gz	3bb4fae1f9685a7884bdbda889f6f43f	2935611	released
8370d82f-db17-4498-b1c8-ea51ebf2aaf1	5fbd4fc2-a5c6-4e03-83da-4dd62cfac3a9.wxs.MuTect2.aliquot.maf.gz	b530aab1b9cc7d728c1be41da98cbf04	3876024	released
5220c6e1-aefd-42e5-9acf-c15a8f2160b8	775bdaba-0654-4bee-97a6-5fe1f4134c9b.wxs.MuTect2.aliquot.maf.gz	1e16c5cf37a0bce387fe3491160a5e3a	1800839	released
4dfb56a3-8f84-44f8-8fec-01db4a365b72	81d41f03-4e7e-42c7-b206-21fddbf08250.wxs.MuTect2.aliquot.maf.gz	b28460e807fd25985478c1024c9f23ee	4034234	released
79626e8a-1ed6-4065-98b8-202c1d7a21bc	f9f4fbbf-5de8-43a0-9155-4fdb7c4e9012.wxs.MuTect2.aliquot.maf.gz	a054d653ed96ccfd905ae0bbd6e94c01	941676	released
47865079-559f-4bba-a518-efd4784c4d12	5b58c408-9f20-4095-90c5-6583e5f2e9cb.wxs.MuTect2.aliquot.maf.gz	8182746244c8fa080e0548e3a44b3b86	753269	released
47762085-431a-40e3-b648-1d886911aa73	71bbe3ae-30ab-4941-a417-a873a8622bb3.wxs.MuTect2.aliquot.maf.gz	7b33e5ea5949f603799641b178f3b34e	3461593	released
974a71dd-af15-4190-9b04-4dc0b2c82f7f	b9fdb68f-e193-4087-83e8-bb443ac8308f.wxs.MuTect2.aliquot.maf.gz	473548a4c11d9d926c49902c1892bd8d	2356506	released
9e8bc0e3-50ba-4ea0-9ed3-83954d71ae8c	39871b65-606b-4efc-b567-f1ff6d99e4bf.wxs.MuTect2.aliquot.maf.gz	5456339e3acdcaa0132025f40256ca2e	1419398	released
21318959-0150-4924-ad56-19a1829de43a	5dde2d7b-e35d-460d-897f-1b480e75df10.wxs.MuTect2.aliquot.maf.gz	7bb12cd8c71e8a899d373e669c441f04	1703212	released
e46fe353-4561-495d-98c2-f77b74c36082	111381d9-d356-49da-8e54-9fb38d8739e5.wxs.MuTect2.aliquot.maf.gz	df0adae55683137b9d247e09b741e11b	3243529	released
d9b3b08a-28b3-4995-bda6-149aef24ad14	3d9356e3-a3ad-4297-9115-93704cb5fc41.wxs.MuTect2.aliquot.maf.gz	d6106075e5471a2565fcaf27bfbc66b3	4092923	released
3051cbf0-cd42-4dc1-9b06-bcab6c87f219	dd211778-74c7-4cd5-887d-530bf38dc557.wxs.MuTect2.aliquot.maf.gz	f424e26353ec37ec3b0d89805903a8dc	2301634	released
dc585e1e-ec62-4392-9455-a28582a40e38	3654f765-e27f-4e2c-8bf4-1e003715fa8b.wxs.MuTect2.aliquot.maf.gz	f822451719a43a357eb84bb68701c9a9	1382730	released
aab858e5-028b-4e28-a358-869400a6de21	5f30552c-c639-46ed-a9c9-bf74e37ca4de.wxs.MuTect2.aliquot.maf.gz	c19171df0c15d14837204f8ccf08923c	1476447	released
d0983f64-c984-4c5d-b50b-d6d811a97f8e	065bfdbc-2a3c-4e4f-b609-f0d3f407e847.wxs.MuTect2.aliquot.maf.gz	43f94fcf8aaaf7dd342317cabcc62227	1665504	released
70b5636c-5c7e-4166-879f-c3369d52e3fe	cc741775-f811-42c9-a968-268091d157a7.wxs.MuTect2.aliquot.maf.gz	75d3222c13e85a37e82600f0021b78b4	995785	released
7cc79cdb-87e2-44c6-a376-c57dd9366772	190dde63-cd43-41c0-a93a-14fc5e044c61.wxs.MuTect2.aliquot.maf.gz	e44e8102b9609c3447f7bedc39adfc3c	1734580	released
bdef0157-3c50-4dee-a5f0-58b003076225	c22e8631-0911-46d8-86a3-2f0b8c971692.wxs.MuTect2.aliquot.maf.gz	723475dae3bcfefd5c3e6a06d97bac7e	1775982	released
8d6a6128-8f79-4f6e-9fbd-c9abe94755ba	abd01e6b-cb41-46ae-b1f6-0a285558976d.wxs.MuTect2.aliquot.maf.gz	c31c419144fdd11cee6bad19bd76a85b	1157976	released
66dde7ca-ae1a-438c-bd82-b0e10fbf2c50	03cd4384-2891-4187-8969-c84e655d25e9.wxs.MuTect2.aliquot.maf.gz	3a9d021077f05889fac0701b1db5b8a3	2021570	released
03b9c2cb-2c73-410e-ae08-859263576f1a	eda165f1-34e5-4744-bea9-0daffa4983cd.wxs.MuTect2.aliquot.maf.gz	3a23e87ec526c525cbdde7c67ba06204	3011113	released
75cd2197-b666-432e-8b17-7ae91c9d36f0	e41e0663-b046-494e-93b5-3e844d3d1942.wxs.MuTect2.aliquot.maf.gz	2f2220fd42167405855fcd9d9903b60b	2122217	released
56d415ef-7a2b-49eb-871e-ab72eb0b3065	1a3e3e91-c14f-45fa-ba60-589d2de8206b.wxs.MuTect2.aliquot.maf.gz	4e422d3ec07a9f3ef88ca6a75e026113	2235776	released
2c5fe37d-c38d-416b-8f84-cbbf94452ed3	51986bf1-bfd4-49c5-9477-6d8a6c8f6b6b.wxs.MuTect2.aliquot.maf.gz	d2ea6c204f0df6fa0368c792131e5c0e	3284235	released
b419992a-6c59-429b-8dbe-7037b3d56dbf	6c843414-9be5-41f5-bf56-5b219224cb4f.wxs.MuTect2.aliquot.maf.gz	118e22fe417100314e0a4a475f4c8025	2528908	released
307b4563-cf68-46f2-b853-3a20121b3049	469ddce8-9e7d-4f9f-8d91-0d4e65e54f71.wxs.MuTect2.aliquot.maf.gz	1436fbacf61e78ca8ed1d4f60198f0db	1268360	released
bada15e2-e361-4115-91b1-e6d91f53621e	e2632be1-fad2-4dda-8b14-5cc4bd99e784.wxs.MuTect2.aliquot.maf.gz	9482e60c07bd829dd7c96aeb4e33e02a	1956591	released
97de3dc3-8556-4970-bd02-bc4f2d958a43	ef9a469e-b88c-424a-9d7d-9564e58b457c.wxs.MuTect2.aliquot.maf.gz	b17dcc967bfc58d861fffd40fd65a983	2217160	released
e396fdbd-c6f7-4d3c-bd1b-2eb84cd5b925	4fe70140-18d1-4590-9f1e-7e657430b2d2.wxs.MuTect2.aliquot.maf.gz	13b4eb61092c73a5177c40492f2e2f1f	2475539	released
01f951f0-834c-478d-aadf-40d48a69edfb	9871370d-538f-4f54-9cf4-7ba5c33e8d9d.wxs.MuTect2.aliquot.maf.gz	9139a910ac4599bac4ec8eb27363c093	2383727	released
c707f7d1-0402-4456-b994-1c2b925ea95b	af11e0e5-526a-4164-b5fe-2e9011c5aacb.wxs.MuTect2.aliquot.maf.gz	742b1cc209c5d69e50171bacaa397616	1953378	released
c85d90f7-7f99-432a-b3d1-caaba51b412c	a672ee75-3b64-47f2-a805-ae1a612597c5.wxs.MuTect2.aliquot.maf.gz	5f7356234fd1fc7b3999adbd38fd5c4b	2346443	released
ee623203-5e94-46c0-a2a9-06dc89d186d7	16c59911-19f4-4b64-93ba-b41503396c8d.wxs.MuTect2.aliquot.maf.gz	e288e449654a9c81854a594e20d58334	2524714	released
c27fa533-ab82-4cac-be56-9595ae23697a	a7417300-ef7f-4730-bb38-9037f08563b6.wxs.MuTect2.aliquot.maf.gz	8dc86245fadf22dfe605af96a21688df	2895667	released
aa47edc3-7581-42e3-8922-9e6ab6eb20ac	59b05b58-00c8-43f0-8dc7-2f589068fa78.wxs.MuTect2.aliquot.maf.gz	1ef158cf3387842f55a884505d6048d5	1429252	released
342915a4-f9fb-44d4-ba6a-e4a2bc8d4f43	38c7bf25-c1fd-4d89-98c2-c55753619b68.wxs.MuTect2.aliquot.maf.gz	abec5860e446467f3939296be191a958	2793095	released
adea7ce9-98e5-4413-975a-e448f9eaaeb3	974bfce8-c131-4098-8d49-8ebc396538fd.wxs.MuTect2.aliquot.maf.gz	02c0b52c221bc0e9559cce4a5bc0b932	3562019	released
7932ce08-2294-4333-8b87-5a1691374151	51cb0ef0-0ccc-4230-b8df-4a17d1f8ab6a.wxs.MuTect2.aliquot.maf.gz	70c4a9e7b3a51904589d7c203f4f3d16	1504687	released
be36f0c7-a7bb-413c-b8ec-09d1968f673b	0d1b328b-c354-4a9b-a8c8-add930338d3c.wxs.MuTect2.aliquot.maf.gz	7e13a5094d47a15fc5f089a5beed6ceb	829156	released
67f3b35b-d718-4c5b-a476-a2f32e2d344c	da766605-c843-46eb-8eca-1aceab3b6e31.wxs.MuTect2.aliquot.maf.gz	2b8a0869fb076bcd55a0edbb7cff0ee7	2280271	released
f7f6d150-9ed7-4efb-bbbe-4e22e65d354b	0d73aa8e-352a-4198-87f5-d8422c11fd1b.wxs.MuTect2.aliquot.maf.gz	7bb30c3db534476e23d502abf6e1eb2d	862742	released
ae68e097-b61d-41ff-8ddf-85997d266525	0715949b-1831-441b-bbcb-29c08be0461c.wxs.MuTect2.aliquot.maf.gz	865a7642339145927bbe445a70c300ea	3010499	released
832ab2c1-ab23-4491-b2f3-2ede2e248889	dbab9664-a488-48ff-a833-67966d6dfe79.wxs.MuTect2.aliquot.maf.gz	2de03a95e5893d743b01753faa857c62	929647	released
ed97088c-a1b4-454a-a04b-ec0acf19610a	8d07f7e7-7682-4bc6-82e6-76314b154c92.wxs.MuTect2.aliquot.maf.gz	638e57364b80330c4ffb928c7b5e7274	1504344	released
f3e6118b-be96-4aec-add1-2a1e0d9b1be6	009463a5-84a5-46d6-a65c-f65d243db835.wxs.MuTect2.aliquot.maf.gz	b52ddc44228fbec7147cee85cd34a823	1274155	released
95e0dacd-53a5-4145-aaa1-b8f6bebd102f	19d88e03-a086-4d7f-9cac-464c6fa605db.wxs.MuTect2.aliquot.maf.gz	d362205109bfae2fe96f42b64ee16bc9	2403700	released
