Gene	mean_adj_r_sq	max_adj_r_sq	mean_cor	cor_value	cor_pvalue	cor_padj_BH
ENST00000656077.1	0.0275071093902759	0.170456187875913	-0.0545165914762317	-0.387909243325596	0.518780935031853	0.642668985081006
ENST00000656402.1	0.0257915413679351	0.0683106061812472	0.127497549282657	0.57704785081654	0.308382443260473	0.47262880438404
ENST00000658065.1	0.0248406488458337	0.0965919949831657	0.0301358999714263	-0.95337133216502	0.0120019623014954	0.130307019273379
ENST00000658429.1	0.0234570620162473	0.0850838419051234	0.0295864309192508	-0.678137015497525	0.208292182705497	0.390869281126365
ENST00000653522.1	0.0230726655137281	0.087250832991975	0.0143296470628393	-0.686599199758209	0.200416093564346	0.380790577772256
ENST00000667714.1	0.0223294695100778	0.114977885404067	0.076360729003759	-0.983768344981774	0.00247638311962357	0.0726445407947657
ENST00000657596.1	0.0210737725197865	0.0876185630131702	0.142214640055848	-0.563337359596074	0.322723100985055	0.47262880438404
ENST00000667204.1	0.0200916409092428	0.0539657018178772	0.156799776632626	-0.118999568907021	0.848843404475551	0.902163467098927
ENST00000657449.1	0.0199097389571188	0.0739404434539755	-0.0310474882946336	-0.86063837532576	0.061130111910828	0.220265106114751
ENST00000663059.1	0.0124432436821078	0.0461563772348241	0.171660655711879	-0.797478659400775	0.106019581438191	0.253318357266588
ENST00000666147.1	0.0120264962347353	0.0716466076479133	0.130415784073254	-0.346875974069225	0.567367842579734	0.66852645017147
ENST00000668479.1	0.0115062301128588	0.184882095162958	0.0738041055467174	-0.507171277584961	0.383113776992401	0.529393582753136
ENST00000670204.1	0.00900731440021121	0.0558657081597244	0.112272698197339	-0.956658384329308	0.0107608787850642	0.130307019273379
ENST00000523068.2	0.00698858133589513	0.108697124285966	0.114408535449873	-0.982098162045149	0.00286754766295128	0.0726445407947657
ENST00000517838.6	0.00581619433582634	0.0237507847275744	-0.131199825124922	0.566080528796361	0.319840602581865	0.47262880438404
ENST00000701558.1	0.00392636972202907	0.0931406159037905	0.0544693462195546	-0.471785466959464	0.422398549869021	0.553487755000786
ENST00000660200.1	0.00308600834411425	0.0668827118324502	-0.108568356969348	-0.855758858883396	0.0643192035420139	0.220265106114751
ENST00000656396.1	0.00175650793370825	0.118206134258254	0.0309707092449862	-0.523026430180432	0.365810864692621	0.514844920678504
ENST00000650846.1	4.8619703719277e-06	0.0457406028343883	0.142535347931854	-0.489636316594621	0.402468930726712	0.546207834557681
ENST00000657289.1	-0.000274618821222483	0.0471058058673696	0.0712207679555145	-0.868820840161525	0.0558979095896976	0.217820905500968
ENST00000661988.1	-0.00320239367066306	0.00903386210808366	0.219117492963188	-0.518682378025793	0.37053238733282	0.516705714445768
ENST00000653853.1	-0.00330321519745749	0.0489102492660606	0.0814229691584398	-0.643931450849506	0.240966556686389	0.412269697867947
ENST00000668215.1	-0.00422098684706635	0.0651415336596426	-0.0218712728896964	-0.421324885501425	0.479875686220107	0.612950456348372
ENST00000666777.1	-0.00422397267745325	0.0405851154307227	-0.00764252050056775	-0.74988920887973	0.144386926498637	0.318069751127432
ENST00000656999.1	-0.00505008028456162	0.0511212406962374	0.0168274677588706	-0.295710288350685	0.629051583883782	0.718916095867179
ENST00000651568.1	-0.00526455751369626	0.0496129734970024	0.0156902909329353	-0.803441466535424	0.101469045404392	0.253318357266588
ENST00000655783.1	-0.00618412360569116	0.0568380815432326	-0.0538645587559459	-0.962337286785642	0.00872433715346046	0.120554477029635
ENST00000518528.2	-0.0075865772381279	0.029811931153733	0.0161924139389072	-0.786017823874876	0.114932955991132	0.264694080464425
ENST00000665737.1	-0.00780354671477819	0.0221277450467594	0.0162487727799297	0.0387322478543865	0.950696903546084	0.97913346554326
ENST00000692980.1	-0.0093199985835662	0.0529254469054051	0.0311004609523535	0.553928154381714	0.33265955947384	0.480804946275833
ENST00000657517.1	-0.0125332479321076	0.0259884430291959	0.00788298831184245	-0.796033779205976	0.107131300070346	0.253318357266588
ENST00000665698.1	-0.0138411859254722	0.0593147365724805	-0.00608103431736111	-0.782191476922248	0.117956557033069	0.267602935358605
ENST00000667305.1	-0.0164368003041733	0.0922396935953553	-0.036486314135421	-0.98914724033846	0.00135498933797549	0.0726445407947657
