	Basal	Her2	LumA	LumB	Normal
a7428d3b-f84b-4c2f-a996-14a11af6b6df	0.870404532876532	0	0	0	0.129595467123468
a90d3b2d-38f9-455c-88cd-73d5b3729491	0	0	0.660313192027839	0	0.339686807972161
aa3cbc51-b74d-44b1-9043-cb2b9855a72b	0	0	0.698948239186953	0	0.301051760813047
acb208ab-def4-4b55-b1c7-abe2130e61c9	0.879343444039163	0	0	0	0.120656555960837
aeee03c3-20b3-4f96-b686-52111ce99a63	0.830487336914812	0.169512663085188	0	0	0
b0c13073-8725-4707-983c-506fe46205d7	0.291131798138168	0.0914257716805488	0	0.617442430181284	0
b1366128-6ab0-4205-ae2b-a854e8ad45bf	0	0.202250200910796	0.0379498169479418	0.759799982141263	0
b161c26d-64b1-4e03-94da-4f9b9de25e88	0.719724185884807	0	0	0	0.280275814115193
b35809ed-747b-46b9-9921-e14d859e5b5d	0	0	0.706520877901909	0.275017827430473	0.0184612946676175
b3861080-a052-4432-82f8-193122ab29d4	0	0.242092817026308	0.0432554931520347	0.714651689821657	0
b4aad532-f92b-43d9-820c-f3c98e382225	0	0	0.731837606837607	0	0.268162393162393
b58811d7-8ee0-4b65-a892-17319cc9ecaf	0	0	0.655577460160999	0	0.344422539839001
b5e84055-487f-467a-9bc4-bd59ec82f183	0	0	0.760830916066249	0.144942453448115	0.0942266304856368
c0285709-159c-46dd-8bd8-50fad06513dd	0	0.423258774322604	0	0.576741225677396	0
c5bb9834-a08f-4729-9aec-22f9a2816184	0	0	0.664868824077773	0	0.335131175922227
c63e3277-327a-4259-84f2-13d9a2c2d68a	0	0.651136133773852	0.0149012204166948	0.333962645809453	0
c84dbd50-ff69-4824-afe5-1eaec5780d27	0.990429427430093	0	0	0	0.00957057256990679
c9c9c085-8e23-454c-aa36-cf59e8dbc587	0	0	0.615719406041987	0	0.384280593958013
c9dffad1-99e8-40b8-8954-1e50b98a1a55	0	0	0.811680255228642	0.188319744771358	0
cab9ff29-e575-45e2-a411-1bfdc2e2610c	0	0.0415587107472277	0.382319411337962	0.57612187791481	0
cb024f71-c708-498b-9196-2fe57acf3771	0	0	0.7168001334668	0	0.2831998665332
cbf0063b-68e5-42ee-9292-dfbf918a7b08	0	0	0.736397564329208	0.0850520526419171	0.178550383028874
ce098c6d-1b12-48df-bbbb-4f1ea8788942	0.731284340659341	0	0	0	0.268715659340659
