	Basal	Her2	LumA	LumB	Normal
488d0d81-4872-4204-b8e8-745e64a35d65	0	0	0	1	0
490dfd10-0c85-48a9-b4ce-22b4445ed504	0	0	1	0	0
4937e136-52e6-4c33-9f53-36ce2a94c09e	1	0	0	0	0
49563aad-aeb3-4a9b-8849-a60c119cbaa4	0	1	0	0	0
49ec7f30-d687-4124-a3aa-17bffb48ce26	1	0	0	0	0
4a88d54f-c88c-4ffd-84c9-069b53f2cb28	0	0	1	0	0
4b9da1a6-923c-4bc8-922a-620ac43e6f9b	0	0	0	1	0
4ba90a73-b2e0-415b-9cd2-fad805840aff	1	0	0	0	0
4c6cb929-293d-452e-b7f8-d535b48cf073	0	1	0	0	0
4c6f18b9-eb4c-4b7f-90ee-0c3194407be7	0	0	1	0	0
4d4d40f2-1f96-4d31-81aa-d44b17a217ed	1	0	0	0	0
4d7842e5-9d8b-433a-a768-7a40129bdd0d	0	1	0	0	0
4e01a01d-eded-4d02-b8aa-1920c6997726	1	0	0	0	0
4e3fbf45-1a73-437b-8d85-29aa0c8ac6b0	0	0	1	0	0
4e75f67b-99df-4ad5-a2ca-1877a3d45655	0	0	0	1	0
4fa35f20-e26e-4bb0-811d-b307e3927904	0	1	0	0	0
4fb42c7e-2a7e-4641-ae7c-e92fd9c2be11	0	0	1	0	0
504f8320-62f8-4205-926a-a54d042d0e98	0	1	0	0	0
507de54a-b4a5-4778-99fc-2f4f45c6daa0	0	1	0	0	0
511ced4c-a861-4f26-9e29-afcf8d603fab	0	0	0	1	0
51538db5-edf3-40bc-ae5e-dc9b552e8b53	0	0	1	0	0
5167da8c-2b1c-4139-a2c4-355e9f07d0be	1	0	0	0	0
52df14ea-5feb-481a-855e-0a6176744a73	0	0	0	1	0
54022a08-1016-45a7-ac33-5a40b4b5e6b3	1	0	0	0	0
548b1967-fca4-4238-8d59-ae5405122c90	1	0	0	0	0
54aca121-5b70-4833-84ac-c7506a57bd02	0	0	1	0	0
550812e9-ad67-4ae6-900e-572a051208a4	0	0	0	1	0
553e13f9-e00e-4b05-b934-c3837ad4d02d	0	0	1	0	0
56bc1e6b-d1bf-4df9-b266-07ff567aad77	1	0	0	0	0
56cb5294-9156-4930-a3ab-c2607a79b65e	0	0	1	0	0
56f3a401-cf18-4d25-b4af-6bacca469041	0	0	0	1	0
5782ee15-ce76-43d2-ba6c-e84284f4a99f	0	1	0	0	0
57d2c12f-e3ae-457b-b92c-22002aecdba0	0	1	0	0	0
5842a066-d158-474e-a4db-034f5797d865	1	0	0	0	0
586df577-513d-4d43-ac47-89c52f322d30	0	0	0	1	0
594263d2-e787-4e14-a2de-8f57727de001	1	0	0	0	0
59c3ac05-7a99-4817-ae14-1584f2b7bf36	0	0	1	0	0
