Gene	mirnaTG
ENSG00000184402.15	no
ENSG00000203880.13	no
ENSG00000103479.17	no
ENSG00000125458.7	no
ENSG00000198937.9	no
ENSG00000184465.16	no
ENSG00000270558.1	no
ENSG00000266967.7	no
ENSG00000015479.20	yes
ENSG00000175550.8	no
ENSG00000083097.15	no
ENSG00000176973.8	no
ENSG00000253106.1	no
ENSG00000136451.9	yes
ENSG00000185324.22	no
ENSG00000272054.1	no
ENSG00000149177.15	yes
ENSG00000051825.15	yes
ENSG00000198931.11	no
ENSG00000106868.17	no
ENSG00000167393.18	no
ENSG00000169814.17	no
ENSG00000134250.21	yes
ENSG00000283390.1	no
ENSG00000224975.1	no
ENSG00000138688.17	no
ENSG00000171634.19	yes
ENSG00000164961.16	no
ENSG00000196712.20	no
ENSG00000116539.14	yes
ENSG00000186654.21	no
ENSG00000123349.15	no
ENSG00000236456.1	no
ENSG00000259248.7	no
ENSG00000170236.16	no
ENSG00000104517.13	no
ENSG00000187187.14	no
ENSG00000120137.7	yes
ENSG00000163945.19	no
ENSG00000157224.16	yes
ENSG00000149273.15	no
ENSG00000290842.1	no
ENSG00000159459.12	no
ENSG00000141198.16	no
ENSG00000272807.1	no
ENSG00000107864.15	no
ENSG00000164953.17	no
ENSG00000280347.1	no
ENSG00000269940.1	no
ENSG00000122477.14	no
ENSG00000125107.19	yes
ENSG00000204237.5	no
ENSG00000108510.10	yes
ENSG00000105404.11	yes
ENSG00000223374.1	no
ENSG00000106588.12	no
ENSG00000225663.8	no
ENSG00000066777.9	yes
ENSG00000168802.14	no
ENSG00000085719.13	no
ENSG00000100836.11	no
ENSG00000116406.20	no
ENSG00000109458.10	no
ENSG00000272140.2	no
ENSG00000198718.13	no
ENSG00000150961.15	no
ENSG00000185278.16	no
ENSG00000185164.15	no
ENSG00000128791.12	no
ENSG00000232630.1	no
ENSG00000155111.15	no
ENSG00000281207.1	no
ENSG00000123739.11	no
ENSG00000170092.15	no
ENSG00000237950.3	no
ENSG00000110344.10	no
ENSG00000218018.4	no
ENSG00000233762.3	no
ENSG00000160813.7	no
ENSG00000234420.9	no
ENSG00000253854.1	no
ENSG00000279159.1	no
ENSG00000023902.14	no
ENSG00000172869.15	yes
ENSG00000286545.1	no
ENSG00000224877.4	no
ENSG00000132849.22	no
ENSG00000228606.4	no
ENSG00000100142.16	yes
ENSG00000117528.14	yes
ENSG00000273142.1	no
ENSG00000091039.17	yes
ENSG00000291134.1	no
ENSG00000260565.9	no
ENSG00000280007.1	no
ENSG00000285728.3	no
ENSG00000166004.15	no
ENSG00000289443.1	no
ENSG00000219470.1	no
ENSG00000271533.1	no
ENSG00000259366.3	no
ENSG00000260853.2	no
ENSG00000140396.13	yes
ENSG00000249859.14	no
ENSG00000272037.1	no
ENSG00000131149.19	no
ENSG00000165240.22	no
ENSG00000261326.4	no
ENSG00000270060.1	no
ENSG00000067141.17	no
ENSG00000137070.19	no
ENSG00000184897.7	no
ENSG00000267342.1	no
ENSG00000082438.18	yes
ENSG00000132405.19	no
ENSG00000048392.13	no
ENSG00000129749.3	no
ENSG00000189144.15	no
ENSG00000253438.5	no
ENSG00000204149.16	no
ENSG00000115464.15	yes
ENSG00000115109.14	no
ENSG00000034510.6	no
ENSG00000286808.1	no
ENSG00000108506.14	no
ENSG00000132549.20	yes
ENSG00000187961.15	no
ENSG00000087301.9	yes
