Gene	mirnaTG
ENSG00000103479.17	no
ENSG00000126432.14	no
ENSG00000099330.9	no
ENSG00000148291.10	no
ENSG00000135775.14	no
ENSG00000118007.13	no
ENSG00000147316.15	no
ENSG00000128731.18	no
ENSG00000176853.16	yes
ENSG00000163818.20	no
ENSG00000160256.14	no
ENSG00000198056.16	no
ENSG00000107897.20	no
ENSG00000072501.19	yes
ENSG00000152332.16	yes
ENSG00000160799.12	no
ENSG00000163346.17	no
ENSG00000102531.16	no
ENSG00000107560.12	yes
ENSG00000161960.16	no
ENSG00000143774.18	no
ENSG00000141562.19	no
ENSG00000168096.15	no
ENSG00000142541.18	no
ENSG00000129534.14	no
ENSG00000005889.16	yes
ENSG00000155008.16	yes
ENSG00000101596.17	no
ENSG00000160007.20	yes
ENSG00000167604.15	no
ENSG00000174917.9	no
ENSG00000204220.12	no
ENSG00000136824.19	no
ENSG00000149311.20	no
ENSG00000198218.12	no
ENSG00000167996.16	no
ENSG00000261221.5	no
ENSG00000116704.8	yes
ENSG00000115268.10	no
ENSG00000177873.14	no
ENSG00000177853.15	no
ENSG00000135999.12	yes
ENSG00000051128.19	no
ENSG00000008382.16	no
ENSG00000099795.7	no
ENSG00000074621.14	no
ENSG00000007080.11	no
ENSG00000229833.11	no
ENSG00000151491.14	no
ENSG00000004700.16	no
ENSG00000187187.14	no
ENSG00000080503.25	yes
ENSG00000167657.14	no
ENSG00000141552.18	no
ENSG00000249492.3	no
ENSG00000071189.21	no
ENSG00000123552.18	no
ENSG00000144674.19	yes
ENSG00000183718.6	no
ENSG00000116747.13	yes
ENSG00000008282.10	yes
ENSG00000104774.13	no
ENSG00000144029.14	yes
ENSG00000198816.7	no
ENSG00000174886.14	no
ENSG00000129911.9	no
ENSG00000182400.15	no
ENSG00000100697.17	yes
ENSG00000047410.14	no
ENSG00000234009.1	no
ENSG00000005075.16	no
ENSG00000056586.16	yes
ENSG00000135617.4	no
ENSG00000180488.17	no
ENSG00000185261.16	no
ENSG00000155189.12	no
ENSG00000257093.7	no
ENSG00000185298.13	no
ENSG00000163535.18	no
ENSG00000204237.5	no
ENSG00000135940.7	no
ENSG00000140386.13	no
ENSG00000262246.6	no
ENSG00000224660.2	no
ENSG00000114439.19	yes
ENSG00000197386.14	no
ENSG00000135837.17	yes
ENSG00000129932.10	no
ENSG00000149806.11	no
ENSG00000165476.14	yes
ENSG00000139133.7	no
ENSG00000291124.1	no
ENSG00000198707.17	no
ENSG00000137818.12	no
ENSG00000142937.12	no
ENSG00000236456.1	no
ENSG00000133302.13	no
ENSG00000064545.15	no
ENSG00000261884.2	no
ENSG00000213131.3	no
ENSG00000103994.18	no
ENSG00000264577.1	no
ENSG00000138593.9	yes
ENSG00000185164.15	no
ENSG00000133265.11	no
ENSG00000104412.8	no
ENSG00000127080.10	no
ENSG00000175550.8	no
ENSG00000172469.17	no
ENSG00000188647.13	no
ENSG00000109572.16	yes
ENSG00000196547.15	no
ENSG00000163820.16	no
ENSG00000241973.11	no
ENSG00000196465.11	no
ENSG00000173273.17	no
ENSG00000167323.13	no
ENSG00000164066.13	no
ENSG00000108239.9	yes
ENSG00000121957.15	no
ENSG00000064547.14	no
ENSG00000145592.14	no
ENSG00000117569.20	no
ENSG00000171159.5	no
ENSG00000080603.17	no
ENSG00000236144.9	no
ENSG00000260853.2	no
ENSG00000198931.11	no
ENSG00000262050.2	no
ENSG00000235636.1	no
ENSG00000067369.14	yes
ENSG00000126522.17	no
ENSG00000127329.16	no
ENSG00000006015.18	no
ENSG00000269374.1	no
ENSG00000122477.14	no
ENSG00000185278.16	no
ENSG00000288937.2	no
ENSG00000165661.18	yes
ENSG00000166881.10	no
ENSG00000285053.1	no
ENSG00000156162.16	no
ENSG00000105321.14	no
ENSG00000163945.19	no
ENSG00000272054.1	no
ENSG00000104320.15	no
ENSG00000286360.1	no
ENSG00000171443.7	no
