file_name	ENST00000670009:1	ENST00000664214:1	ENST00000692980:1	ENST00000658840:1	ENST00000517838:6	ENST00000665372:1	ENST00000665737:1	ENST00000658305:1	ENST00000690350:1	ENST00000667305:1	ENST00000667714:1	ENST00000657289:1	ENST00000668098:1	ENST00000671092:1	ENST00000667630:1	ENST00000520913:2	ENST00000666147:1	ENST00000656999:1	ENST00000662766:1	condition	pam50_subtype
876216c7-72a1-4b1e-bd2b-fcb125ca91ae	175.148782	32.72278	0	60.667029	43.473438	1.904252	56.741967	0	0	0	12.891768	36.067826	0	46.000084	31.498485	0	0	14.942387	14.922474	Tumor	LumA
87c074cd-bcd8-4280-a12e-b205f50e139c	197.561533	37.227013	0	104.275364	0	0	21.203687	0	0	59.100575	0	0	0	48.707567	18.620111	0	16.804883	11.037851	25.624075	Tumor	LumA
8832d658-24d2-4d12-a025-959d5eed1271	0	82.371711	0	18.63305	0	0	16.856196	0	0	27.314914	0	0	0	5.350914	8.45218	0	0	3.87032	0	Tumor	Basal
88d14d8e-cbbe-4157-b3ae-f1ddcb5e9551	174.093758	8.769385	0	40.490978	37.301015	0	0	0	0	0	20.10104	26.097567	0	31.351542	26.432253	0	0	9.777955	15.28508	Tumor	LumA
8923da54-2f7c-4315-9fc2-a1d6502df55b	0	86.083181	3.02865	42.245015	18.176992	0	0	0	0	0	0	55.68752	0	17.904287	14.806007	28.224115	0	7.611973	14.91046	Tumor	LumA
89424841-6b5a-4f5f-b5c2-209630c6f597	141.771659	43.767928	0	87.065237	32.907974	0	88.653485	0	20.286806	22.288772	0	0	0	45.019663	30.982647	49.308592	0	0	6.546073	Tumor	LumB
8997a81b-4046-4c31-91f6-7c1519f1d2ec	281.829867	0	30.922819	75.235724	0	0	0	0	0	0	0	46.236481	0	65.819066	49.671319	0	0	13.920475	41.663503	Tumor	LumB
8a27980e-a506-4cb3-91f2-3f0e5a19acfe	8.156912	0	0	23.88094	30.548692	0	34.412039	0	1.453366	0	0	29.677119	0	7.52635	3.616984	0	0	2.846281	0	Tumor	Basal
8afeab3f-89ee-4901-8a32-d13587dbcab5	683.464592	117.070011	0	38.510463	40.908608	0	0	42.251795	21.349536	22.871255	51.428332	0	0	23.188729	7.499093	0	0	39.339139	17.509315	Tumor	LumA
8b5be676-9118-4038-9d54-6b80b14e43dc	0	19.764653	0	11.094081	0	0	15.900363	0	0	12.617054	0	0	0	1.942314	1.973723	3.887019	0	1.259429	0	Tumor	Her2
8b629c3d-0f28-4740-b681-6f064354f794	0	30.683247	0	43.017426	56.254544	0	25.390614	0	0	0	0	0	40.970833	11.471893	13.134312	0	0	14.111055	2.903748	Tumor	Basal
8bf23a6b-8ca6-4fcf-b4e9-a14c3a875526	0	7.029645	0	8.535762	0	0	0	33.367861	0	0	26.02021	8.820447	0	6.056625	5.715705	0	0	7.136342	0	Tumor	Basal
8bfd50fb-d6d8-44cd-a492-1e0a983e40b6	0	44.692749	0	50.479059	0	8.835161	32.849828	0	0	0	0	38.338262	0	10.613195	12.660424	0	0	5.807277	0	Tumor	LumA
8c147a31-a1be-4464-9606-12b14fbdf8d3	114.571531	41.351724	0	47.033715	0	2.371925	0	0	0	0	0	41.793533	0	26.663561	30.009952	24.134402	0	6.930302	41.930173	Tumor	LumA
8cf6a0f3-9dfb-41f5-b855-c313c583e707	0	0	0	7.559702	24.068526	0	0	0	0	0	0	0	0	8.16294	6.646112	0	0	0	0	Tumor	Her2
8d0f534a-a0b1-4d8e-9ca5-042f8a0a4e52	0	97.14815	0	89.673126	22.465745	0	0	0	0	62.459996	53.670044	0	25.852185	39.899964	34.247912	0	0	32.99749	0	Tumor	LumA
8d1641ea-7552-4d23-9298-094e0056386a	114.501004	74.679338	2.936321	44.569804	16.836826	0	0	0	0	0	0	0	0	12.439929	9.99895	0	0	11.026822	1.732952	Tumor	LumA
8d3d544f-6d1a-4cdc-8091-490311487ebd	0	12.226165	0	16.856516	0	0	7.663474	0	0	0	0	17.272181	0	6.145557	6.170193	0	0	0	0	Tumor	Basal
8d66b5ac-4ceb-40a3-b2b9-4d0c24be01a7	44.800641	29.277849	0	3.757366	0	0	0	0	0	0	0	7.212198	0	4.944818	3.93377	0	0	4.409272	1.52145	Tumor	Her2
