Gene	Model	Statistic
ENSG00000119596.18	LM	0.132020393194667
ENSG00000089280.19	LM	0.131996248871112
ENSG00000132405.19	LM	0.131924706407382
ENSG00000263069.6	LM	0.131293432908869
ENSG00000105185.12	LM	0.131199415955796
ENSG00000136925.15	LM	0.131099851742328
ENSG00000171421.13	LM	0.131096030345195
ENSG00000166595.12	LM	0.131037730850927
ENSG00000142599.20	LM	0.131029671845661
ENSG00000088986.11	LM	0.131029480447576
ENSG00000130204.13	LM	0.131008579960501
ENSG00000055609.21	LM	0.130990218538074
ENSG00000229807.13	LM	0.130865701189917
ENSG00000244538.1	LM	0.130852017801879
ENSG00000116898.12	LM	0.130816224616931
ENSG00000259248.7	LM	0.130783958524418
ENSG00000259366.3	LM	0.130674145823977
ENSG00000273341.2	LM	0.130425546940154
ENSG00000105700.11	LM	0.130339171903769
ENSG00000123636.19	LM	0.130239865462646
ENSG00000253341.1	LM	0.130200554140464
ENSG00000127914.19	LM	0.130188028555928
ENSG00000174547.13	LM	0.130177504999875
ENSG00000197566.10	LM	0.130149753698971
ENSG00000290683.1	LM	0.130092584529525
ENSG00000220541.4	LM	0.130050220043323
ENSG00000143977.14	LM	0.130021695170456
ENSG00000089693.11	LM	0.129921210545602
ENSG00000279520.1	LM	0.129877379202308
ENSG00000237032.1	LM	0.129876684977098
ENSG00000230943.4	LM	0.129786257213779
ENSG00000160075.12	LM	0.129587918680389
ENSG00000182224.12	LM	0.129528031290268
ENSG00000253854.1	LM	0.129463958646153
ENSG00000258366.12	LM	0.129310613105177
ENSG00000007080.11	LM	0.12918933894601
ENSG00000272918.1	LM	0.129113483880315
ENSG00000235313.1	LM	0.129078520696783
ENSG00000198712.1	LM	0.128963168230715
ENSG00000156411.10	LM	0.128839635769399
ENSG00000168769.14	LM	0.128796457089278
ENSG00000197044.11	LM	0.128786000641255
ENSG00000100092.24	LM	0.128752997248835
ENSG00000152818.20	LM	0.12862640291379
ENSG00000213830.3	LM	0.1286035244301
ENSG00000119421.7	LM	0.128593656768857
ENSG00000270170.2	LM	0.12857974521099
