	246330536:246330538	245764148:245764150	246335473:246335475	246355093:246355095	245928032:245928034	246326394:246326396	245858669:245858671	246327336:246327338	246417408:246417410	245915639:245915641	246483764:246483766	245749663:245749665	245953354:245953356	245814414:245814416	246053068:246053070	245863885:245863887	246186941:246186943	245929936:245929938	pam50_subtype	label
64b12ba7-a481-4fdb-9c74-38c94c7ef3c9	1.0	0.9761273209549072	0.9045454545454544	0.9761904761904762	0.99009900990099	0.9570957095709572	0.9536231884057972	0.9764309764309764	0.9938650306748468	0.9721362229102168	1.0	0.9673659673659674	1.0	1.0	1.0	0.9839357429718876	0.985239852398524	0.9458483754512635		Tumor
650319bc-20e1-4451-bcb5-a35c360060ef	0.98989898989899	0.9548387096774194	0.8602150537634409	1.0	0.9825783972125436	0.9878048780487804	0.9962962962962963	0.9960629921259844	0.8214285714285714	0.9609375	1.0	0.9946808510638298	1.0	1.0	0.9959016393442623	0.979253112033195	0.9959016393442623	0.9390243902439024	LumA	Tumor
6542e1dd-afee-40e9-a16e-aa9a448963b3	0.9915254237288136	0.9653179190751444	0.8916666666666667	0.978021978021978	0.9808917197452228	0.9942528735632185	0.9834254143646408	1.0	1.0	0.9653179190751444	1.0	1.0	1.0	1.0	1.0	0.9631901840490796	1.0	0.9347826086956522	LumA	Tumor
65b4f81a-4439-4d82-ae25-68d63309b053	1.0	0.927710843373494	0.8970588235294118	1.0	1.0	0.9863013698630136	0.9797979797979798	0.9761904761904762	1.0	0.8877551020408163	1.0	0.9705882352941176	1.0	1.0	1.0	0.96	1.0	0.9857142857142858	Basal	Tumor
65ba302c-51a9-4493-8d28-e7bc076bca54	1.0	0.8461538461538461	0.875	0.9375	0.9736842105263158	0.9743589743589745	0.84	1.0	1.0	0.9615384615384616	1.0	1.0	1.0	1.0	1.0	0.972972972972973	1.0	1.0	Basal	Tumor
66116a4d-210d-45f8-8dba-3f8c79566ecc	0.99	0.9615384615384616	0.875	1.0	0.9918032786885246	1.0	0.9559748427672956	0.9861111111111112	1.0	0.9276315789473684	1.0	1.0	1.0	1.0	1.0	0.98	1.0	0.9736842105263158	LumA	Tumor
663797a8-ffd2-48a2-a5f6-992b5eb3c745	0.9913232104121475	0.9675675675675676	0.9302884615384616	0.9708029197080292	0.9722627737226276	0.986247544204322	0.9676985195154778	0.994475138121547	0.9958847736625516	0.9601063829787234	1.0	0.9872262773722628	0.998473282442748	0.9972027972027973	0.9953051643192488	0.9837837837837838	0.99609375	0.9134078212290504	LumA	Tumor
666548b5-7b80-42af-80f3-207063c35b3b	1.0	0.96875	0.9077669902912622	0.9102564102564102	0.9691119691119692	0.981012658227848	0.9073482428115016	0.9754098360655736	1.0	0.868020304568528	1.0	0.9744186046511628	1.0	1.0	0.9936305732484076	0.9857142857142858	0.9935064935064936	0.923529411764706	LumB	Tumor
668e1e67-cc4f-40fd-b921-23aec5078635	0.9659090909090908	0.9352941176470588	0.88	0.9787234042553192	0.983739837398374	1.0	0.9435483870967742	1.0	1.0	0.9477611940298508	1.0	0.9774436090225564	1.0	1.0	1.0	0.9618320610687024	0.9904761904761904	0.9464285714285714	LumA	Tumor
66941b24-9c8f-4657-a4eb-8cc267e38bdc	1.0	0.9603960396039604	0.9508196721311476	1.0	0.9479166666666666	1.0	0.9646017699115044	1.0	1.0	0.925925925925926	1.0	0.9928571428571428	1.0	0.9791666666666666	1.0	0.9574468085106383	1.0	0.9787234042553192	LumB	Tumor
