Gene	mirnaTG
ENSG00000224975.1	no
ENSG00000145246.14	no
ENSG00000183011.14	no
ENSG00000132549.20	yes
ENSG00000132466.20	yes
ENSG00000150779.12	no
ENSG00000232389.1	no
ENSG00000196110.8	no
ENSG00000159256.13	yes
ENSG00000134318.16	yes
ENSG00000178386.13	no
ENSG00000055609.21	yes
ENSG00000186026.7	no
ENSG00000167637.18	no
ENSG00000166435.17	no
ENSG00000260804.3	no
ENSG00000290948.1	no
ENSG00000214021.18	no
ENSG00000166439.6	no
ENSG00000166444.19	no
ENSG00000102189.17	no
ENSG00000196437.12	yes
ENSG00000111641.13	no
ENSG00000172493.23	yes
ENSG00000203761.5	no
ENSG00000152767.17	no
ENSG00000288701.1	yes
ENSG00000197714.9	yes
ENSG00000174740.8	no
ENSG00000112234.9	no
ENSG00000170906.16	no
ENSG00000079459.14	no
ENSG00000175548.9	no
ENSG00000260257.2	no
ENSG00000228300.14	no
ENSG00000153956.17	no
ENSG00000269386.6	no
ENSG00000268043.9	no
ENSG00000245149.6	no
ENSG00000187961.15	no
ENSG00000255585.3	no
ENSG00000263001.8	yes
ENSG00000104517.13	no
ENSG00000132669.14	no
ENSG00000189195.15	no
ENSG00000223861.1	no
ENSG00000136237.20	no
ENSG00000232931.6	no
ENSG00000280385.1	no
ENSG00000142192.22	yes
ENSG00000274104.2	no
ENSG00000245275.9	no
ENSG00000259807.2	no
ENSG00000091039.17	yes
ENSG00000119681.12	no
ENSG00000248487.10	no
ENSG00000267575.9	no
ENSG00000034510.6	no
ENSG00000081377.17	yes
ENSG00000235531.11	no
ENSG00000205339.10	yes
ENSG00000253276.5	yes
ENSG00000121297.8	no
ENSG00000166025.18	no
ENSG00000260778.5	no
ENSG00000279307.2	no
ENSG00000223822.2	no
ENSG00000151208.17	yes
ENSG00000174705.13	no
ENSG00000269910.1	no
ENSG00000246263.4	no
ENSG00000107957.17	yes
ENSG00000237350.1	no
ENSG00000139324.12	yes
ENSG00000143797.12	no
ENSG00000167705.12	no
ENSG00000218891.5	no
ENSG00000168438.15	no
ENSG00000136436.15	yes
ENSG00000178585.15	no
ENSG00000110344.10	no
ENSG00000130255.13	no
ENSG00000178896.9	no
ENSG00000110841.14	yes
ENSG00000166068.13	yes
ENSG00000215440.12	no
ENSG00000273568.1	no
ENSG00000162105.21	no
ENSG00000166341.9	no
ENSG00000116717.13	no
ENSG00000154485.5	no
ENSG00000196586.17	yes
ENSG00000146414.17	no
ENSG00000255642.1	no
ENSG00000288953.1	no
ENSG00000135338.14	no
ENSG00000181315.11	no
ENSG00000226696.8	no
ENSG00000284946.1	no
ENSG00000233927.5	no
ENSG00000289629.1	no
ENSG00000046889.19	no
ENSG00000259856.1	no
ENSG00000244733.5	no
ENSG00000232713.2	no
ENSG00000123066.9	no
ENSG00000066777.9	yes
ENSG00000147174.12	no
ENSG00000279453.1	no
ENSG00000198406.7	no
ENSG00000232630.1	no
ENSG00000185842.16	no
ENSG00000286067.1	no
ENSG00000275202.1	no
ENSG00000168010.11	no
ENSG00000151491.14	no
ENSG00000138411.13	no
ENSG00000175756.14	no
ENSG00000234329.1	no
ENSG00000135766.9	yes
ENSG00000135698.10	no
ENSG00000174912.7	no
ENSG00000134198.10	yes
ENSG00000005810.20	yes
ENSG00000115268.10	no
ENSG00000123096.12	no
ENSG00000177842.12	no
ENSG00000185532.20	no
ENSG00000103489.12	no
ENSG00000268947.1	no
ENSG00000121690.11	no
ENSG00000240634.1	no
ENSG00000181751.10	no
ENSG00000163644.15	no
ENSG00000177707.11	no
ENSG00000132879.14	no
ENSG00000151150.22	no
ENSG00000171121.17	no
ENSG00000149489.9	no
ENSG00000101849.18	no
ENSG00000182134.17	no
ENSG00000183853.18	no
ENSG00000279278.1	no
ENSG00000268034.1	no
ENSG00000131067.17	no
ENSG00000171320.15	no
ENSG00000138448.13	no
ENSG00000123104.12	no
ENSG00000266967.7	no
ENSG00000260423.2	no
ENSG00000230071.2	no
ENSG00000111817.19	no
ENSG00000226763.5	no
ENSG00000280206.1	no
ENSG00000166348.20	no
ENSG00000163359.17	no
ENSG00000254535.4	no
ENSG00000103254.10	no
ENSG00000230555.2	no
ENSG00000145569.6	no
ENSG00000223768.4	no
ENSG00000114626.18	no
ENSG00000236609.4	no
ENSG00000158825.6	no
ENSG00000269421.1	no
ENSG00000162148.11	no
ENSG00000285531.1	no
ENSG00000204410.16	no
ENSG00000256238.1	no
ENSG00000123870.11	no
ENSG00000183943.6	no
ENSG00000276449.1	no
ENSG00000198146.4	no
ENSG00000196159.14	yes
ENSG00000147408.16	no
ENSG00000288670.1	no
ENSG00000256356.1	no
ENSG00000197442.11	no
ENSG00000213906.10	no
ENSG00000253854.1	no
ENSG00000178033.6	no
ENSG00000089472.18	no
ENSG00000147650.12	yes
ENSG00000172780.17	no
ENSG00000187037.9	no
ENSG00000075643.6	no
ENSG00000258441.1	no
ENSG00000125107.19	yes
ENSG00000008294.22	yes
ENSG00000289339.2	no
ENSG00000162849.16	no
ENSG00000289410.2	no
ENSG00000078098.15	no
ENSG00000259562.2	no
ENSG00000230793.1	no
ENSG00000156875.14	no
ENSG00000272669.1	no
ENSG00000174567.8	no
ENSG00000116962.15	no
ENSG00000269427.1	no
ENSG00000205100.2	no
ENSG00000141367.13	yes
ENSG00000056736.10	no
ENSG00000163376.11	no
ENSG00000260618.1	no
ENSG00000140945.17	no
ENSG00000279382.1	no
ENSG00000099624.8	no
ENSG00000286555.1	no
ENSG00000250896.1	no
ENSG00000251414.1	no
ENSG00000197815.4	no
ENSG00000076944.18	yes
ENSG00000197291.9	no
ENSG00000239264.9	no
ENSG00000240184.7	no
ENSG00000167964.13	no
ENSG00000247903.1	no
ENSG00000030419.17	no
ENSG00000112294.14	no
ENSG00000102359.9	no
ENSG00000127311.10	no
ENSG00000151617.17	yes
ENSG00000250899.3	no
ENSG00000198108.4	no
ENSG00000237039.1	no
ENSG00000205578.6	no
ENSG00000230295.1	no
ENSG00000086991.13	no
ENSG00000279331.1	no
ENSG00000269069.1	no
ENSG00000210184.1	no
ENSG00000169946.14	yes
ENSG00000136404.16	no
ENSG00000230084.8	no
ENSG00000081026.19	no
ENSG00000158315.11	no
ENSG00000149256.16	no
ENSG00000236439.4	no
ENSG00000121281.13	no
ENSG00000100234.12	yes
ENSG00000290947.1	no
ENSG00000179331.3	no
ENSG00000189050.16	no
ENSG00000110427.17	yes
ENSG00000100852.14	yes
ENSG00000158286.13	no
ENSG00000244161.1	no
ENSG00000232774.8	no
ENSG00000279348.1	no
ENSG00000258768.2	no
ENSG00000289164.1	no
ENSG00000112902.12	no
ENSG00000259205.2	no
ENSG00000245112.2	no
ENSG00000174951.12	no
ENSG00000164649.20	no
ENSG00000267980.1	no
ENSG00000258727.1	no
ENSG00000164683.19	no
ENSG00000204516.10	yes
ENSG00000038427.16	no
ENSG00000240652.1	no
ENSG00000125257.16	no
ENSG00000262580.5	no
ENSG00000240764.4	no
ENSG00000139908.15	no
ENSG00000273759.1	no
ENSG00000184156.18	no
ENSG00000177932.7	no
ENSG00000276900.1	no
ENSG00000272908.1	no
ENSG00000215769.8	no
ENSG00000151388.11	no
ENSG00000260081.2	no
ENSG00000115414.21	yes
ENSG00000128594.8	no
ENSG00000137502.10	yes
ENSG00000134775.16	no
ENSG00000277938.1	no
ENSG00000275494.2	no
ENSG00000260597.1	no
ENSG00000197813.6	no
ENSG00000178502.6	yes
ENSG00000181359.5	no
ENSG00000128510.12	no
ENSG00000167920.12	no
ENSG00000210077.1	no
ENSG00000188906.17	no
ENSG00000267053.9	no
ENSG00000220842.6	no
ENSG00000269825.3	no
ENSG00000156675.16	yes
ENSG00000170624.14	no
