Gene	Model	Statistic
ENSG00000184428.13	LM	0.18071400467195
ENSG00000178202.14	LM	0.180465594594679
ENSG00000254389.3	LM	0.179920937186384
ENSG00000155096.15	LM	0.179557961498341
ENSG00000232956.10	LM	0.178632894318549
ENSG00000147679.12	LM	0.177447654092291
ENSG00000164919.11	LM	0.177277001872128
ENSG00000239672.8	LM	0.176248229352529
ENSG00000170619.10	LM	0.176178931845123
ENSG00000180900.20	LM	0.176118747305688
ENSG00000101361.17	LM	0.175397844611161
ENSG00000071894.17	LM	0.175369675827179
ENSG00000155367.16	LM	0.17521778213636
ENSG00000172348.16	LM	0.174890098382707
ENSG00000161996.19	LM	0.17485237526335
ENSG00000187961.15	LM	0.173140213148062
ENSG00000172167.8	LM	0.173115382749546
ENSG00000197363.11	LM	0.172929339904503
ENSG00000167904.16	LM	0.17281951454953
ENSG00000161179.14	LM	0.172550795946327
ENSG00000137693.14	LM	0.172336901991541
ENSG00000107815.10	LM	0.172158806588302
ENSG00000127586.17	LM	0.171832862021201
ENSG00000117877.11	LM	0.171127235518952
ENSG00000155097.12	LM	0.170962630298294
ENSG00000100162.15	LM	0.170573877314963
ENSG00000135476.12	LM	0.170485781501247
ENSG00000138640.15	LM	0.169704283136551
ENSG00000274180.1	LM	0.169660122210865
ENSG00000109084.14	LM	0.169574637314483
ENSG00000181638.20	LM	0.169211220014007
ENSG00000090447.12	LM	0.168643500216962
ENSG00000168672.4	LM	0.168110527998997
ENSG00000204954.10	LM	0.167932484768858
ENSG00000131153.9	LM	0.167909275037699
ENSG00000102181.22	LM	0.167844864178806
ENSG00000187954.14	LM	0.167439081559753
ENSG00000253716.8	LM	0.167221213718876
ENSG00000164924.18	LM	0.16640794880437
ENSG00000291317.1	LM	0.16559900240742
ENSG00000162407.9	LM	0.165302635536306
ENSG00000254973.2	LM	0.165282195021799
ENSG00000234912.12	LM	0.165222505518434
ENSG00000161016.18	LM	0.165062083491539
ENSG00000233554.6	LM	0.164955615074811
ENSG00000175792.12	LM	0.164832931088779
ENSG00000104218.16	LM	0.164769804916435
ENSG00000132329.11	LM	0.164337406436704
ENSG00000143344.16	LM	0.164300676219688
ENSG00000154783.12	LM	0.163684756596695
ENSG00000213563.7	LM	0.163184588257597
ENSG00000079462.8	LM	0.163095570448631
ENSG00000156482.11	LM	0.16251194881903
ENSG00000184363.10	LM	0.162421051144363
ENSG00000171224.9	LM	0.162307217482176
ENSG00000053372.5	LM	0.162277943230392
ENSG00000123096.12	LM	0.162237548728314
ENSG00000133800.9	LM	0.162223397472116
ENSG00000104529.19	LM	0.16160188743646
ENSG00000117407.17	LM	0.161252881936238
ENSG00000104412.8	LM	0.160431696607617
ENSG00000176853.16	LM	0.160403701764815
ENSG00000127564.17	LM	0.160279536022074
ENSG00000049283.19	LM	0.160120546717615
ENSG00000119899.13	LM	0.160053331191764
ENSG00000161980.6	LM	0.160046276733819
ENSG00000135451.13	LM	0.159476914232207
ENSG00000152818.20	LM	0.159403779429431
ENSG00000084628.10	LM	0.159365015354642
ENSG00000288596.2	LM	0.159054498843089
ENSG00000146122.17	LM	0.158935085498548
ENSG00000135144.8	LM	0.15887101684581
ENSG00000287222.1	LM	0.15885336445619
ENSG00000147676.14	LM	0.158545404809207
ENSG00000173137.12	LM	0.158432907665007
ENSG00000278259.5	LM	0.158266132906051
ENSG00000170631.15	LM	0.158210838625821
ENSG00000289154.2	LM	0.158142062686146
ENSG00000276043.5	LM	0.157831269270644
ENSG00000120533.13	LM	0.157622570359092
ENSG00000115306.16	LM	0.157292422545349
ENSG00000185803.12	LM	0.157245011917406
ENSG00000056998.21	LM	0.15713340398902
ENSG00000128050.9	LM	0.157046231995835
ENSG00000162062.15	LM	0.156983806063737
