"Target","Evidence"
"APPL1","predicted (union)"
"AQP11","predicted (intersection) + predicted (union)"
"AQP4","predicted (intersection) + predicted (union)"
"AQP6","predicted (union)"
"AQP7","predicted (intersection) + predicted (union)"
"AQP9","predicted (union)"
"AQR","predicted (intersection) + predicted (union)"
"AR","predicted (union)"
"ARAP2","predicted (intersection) + predicted (union)"
"ARC","predicted (intersection) + predicted (union)"
"ARF6","predicted (intersection) + predicted (union)"
"ARFGAP3","predicted (union)"
"ARFGEF3","predicted (intersection) + predicted (union)"
"ARFIP1","predicted (intersection) + predicted (union)"
"ARFIP2","predicted (union)"
"ARG2","predicted (intersection) + predicted (union)"
"ARGFX","predicted (union)"
"ARGLU1","predicted (intersection) + predicted (union)"
"ARHGAP11A","predicted (intersection) + predicted (union)"
"ARHGAP12","predicted (union)"
"ARHGAP18","predicted (intersection) + predicted (union)"
"ARHGAP19","predicted (union)"
"ARHGAP20","predicted (union)"
"ARHGAP22","predicted (union)"
"ARHGAP28","predicted (intersection) + predicted (union)"
"ARHGAP29","predicted (union)"
"ARHGAP30","predicted (union)"
"ARHGAP31","predicted (intersection) + predicted (union)"
"ARHGAP32","predicted (union)"
"ARHGAP5","predicted (union)"
"ARHGEF11","predicted (union)"
"ARHGEF12","predicted (union)"
"ARHGEF3","predicted (intersection) + predicted (union)"
"ARHGEF37","predicted (union)"
"ARHGEF38","predicted (intersection) + predicted (union)"
"ARHGEF5","predicted (union)"
"ARHGEF7","predicted (union)"
"ARHGEF9","predicted (union)"
"ARID4B","predicted (union)"
"ARID5B","predicted (union)"
"ARL1","predicted (union)"
"ARL10","predicted (intersection) + predicted (union)"
"ARL13B","predicted (intersection) + predicted (union)"
"ARL14EP","predicted (union)"
"ARL14EPL","predicted (union)"
"ARL17A","predicted (intersection) + predicted (union)"
"ARL17B","predicted (intersection) + predicted (union)"
"ARL4A","predicted (union)"
"ARL5A","predicted (union)"
"ARL5B","predicted (intersection) + predicted (union)"
"ARL5C","predicted (union)"
"ARL6","predicted (union)"
"ARL6IP1","predicted (union)"
"ARL6IP5","predicted (union)"
"ARL6IP6","predicted (intersection) + predicted (union)"
"ARMC1","predicted (intersection) + predicted (union)"
"ARMC2","predicted (intersection) + predicted (union)"
"ARMC3","predicted (union)"
"ARMC4","predicted (union)"
"ARMC5","predicted (union)"
"ARMC8","predicted (union)"
"ARMC9","predicted (intersection) + predicted (union)"
"ARMCX3","predicted (intersection) + predicted (union)"
"ARMH3","predicted (intersection) + predicted (union)"
"ARMH4","predicted (union)"
"ARNTL","predicted (union)"
"ARNTL2","predicted (intersection) + predicted (union)"
"ARPC4-TTLL3","predicted (union)"
"ARPC5","predicted (union)"
"ARPIN","predicted (union)"
"ARPIN-AP3S2","predicted (union)"
"ARPP21","predicted (intersection) + predicted (union)"
"ARRB2","predicted (union)"
"ARRDC3","predicted (union)"
"ARRDC4","predicted (union)"
