"Target","Evidence"
"ARMC2","predicted (union)"
"ARMC3","predicted (intersection) + predicted (union)"
"ARMCX1","predicted (union)"
"ARMCX4","predicted (union)"
"ARMT1","predicted (union)"
"ARNT2","predicted (union)"
"ARPC2","predicted (union)"
"ARPIN-AP3S2","predicted (union)"
"ARPP19","predicted (union)"
"ARRDC2","predicted (union)"
"ARSB","predicted (union)"
"ARSD","experimental (all) + predicted (intersection) + predicted (union)"
"ARSJ","predicted (union)"
"ARSK","predicted (intersection) + predicted (union)"
"ART1","predicted (union)"
"ART4","predicted (intersection) + predicted (union)"
"ARVCF","predicted (union)"
"ASAH1","predicted (union)"
"ASAH2","predicted (union)"
"ASAH2B","predicted (union)"
"ASAP2","predicted (union)"
"ASB13","predicted (intersection) + predicted (union)"
"ASB15","predicted (union)"
"ASB4","predicted (union)"
"ASB5","predicted (union)"
"ASB7","predicted (union)"
"ASCC1","predicted (intersection) + predicted (union)"
"ASH2L","predicted (union)"
"ASPH","predicted (union)"
"ASTN2","predicted (intersection) + predicted (union)"
"ASXL3","predicted (intersection) + predicted (union)"
"ATAD1","predicted (intersection) + predicted (union)"
"ATAD2B","predicted (union)"
"ATCAY","predicted (union)"
"ATF2","predicted (union)"
"ATF5","predicted (intersection) + predicted (union)"
"ATF6","predicted (intersection) + predicted (union)"
"ATF7","predicted (union)"
"ATF7IP","predicted (intersection) + predicted (union)"
"ATG12","predicted (union)"
"ATG2B","predicted (union)"
"ATIC","predicted (union)"
"ATL2","predicted (union)"
"ATL3","predicted (union)"
"ATM","predicted (union)"
"ATMIN","predicted (union)"
"ATOH8","predicted (union)"
"ATP10B","predicted (union)"
"ATP11B","predicted (union)"
"ATP1A2","predicted (intersection) + predicted (union)"
"ATP1B3","predicted (union)"
"ATP1B4","predicted (union)"
"ATP2B1","predicted (union)"
"ATP2C1","predicted (union)"
"ATP5MC1","predicted (union)"
"ATP5MC3","predicted (intersection) + predicted (union)"
"ATP5PB","predicted (intersection) + predicted (union)"
"ATP6V0A2","predicted (union)"
"ATP6V1A","predicted (union)"
"ATP7A","predicted (intersection) + predicted (union)"
"ATP8A1","predicted (union)"
"ATP8A2","predicted (union)"
"ATP8B4","predicted (union)"
"ATRNL1","predicted (union)"
"ATXN1","predicted (union)"
"ATXN7","predicted (union)"
"ATXN7L1","predicted (union)"
"ATXN7L3","predicted (union)"
"AUNIP","predicted (union)"
"AUTS2","predicted (union)"
"AVPR1A","predicted (intersection) + predicted (union)"
"AXL","predicted (intersection) + predicted (union)"
"AZI2","predicted (intersection) + predicted (union)"
"AZIN1","predicted (intersection) + predicted (union)"
"B3GALNT1","predicted (union)"
"B3GALNT2","predicted (union)"
"B3GALT5","predicted (union)"
"B3GALT6","predicted (union)"
"B3GAT1","predicted (union)"
"B3GAT2","predicted (union)"
"B3GNT4","predicted (union)"
"B3GNT7","predicted (union)"
"B4GALNT3","predicted (union)"
"B4GALT4","predicted (union)"
"B4GALT5","predicted (intersection) + predicted (union)"
"B4GALT7","predicted (union)"
"B4GAT1","predicted (union)"
"BAAT","predicted (intersection) + predicted (union)"
"BACE2","predicted (intersection) + predicted (union)"
"BACH1","predicted (union)"
"BACH2","predicted (intersection) + predicted (union)"
"BAG2","predicted (union)"
"BAG4","predicted (intersection) + predicted (union)"
"BAIAP2L1","predicted (union)"
"BAMBI","predicted (union)"
"BARD1","predicted (union)"
"BARX2","predicted (union)"
"BAZ2A","predicted (union)"
"BAZ2B","predicted (union)"
"BBS12","predicted (union)"
"BBS9","predicted (intersection) + predicted (union)"
"BBX","predicted (intersection) + predicted (union)"
"BCAS2","predicted (union)"
"BCAS4","predicted (intersection) + predicted (union)"
"BCAT1","predicted (intersection) + predicted (union)"
"BCCIP","predicted (union)"
"BCL10","predicted (union)"
"BCL11A","predicted (union)"
"BCL11B","predicted (union)"
"BCL2L1","predicted (union)"
"BCL2L11","predicted (union)"
"BCL2L13","predicted (intersection) + predicted (union)"
"BCL2L2","predicted (union)"
"BCL7A","predicted (union)"
"BCL7B","predicted (union)"
"BCL7C","predicted (intersection) + predicted (union)"
"BCL9","predicted (intersection) + predicted (union)"
"BCLAF1","predicted (intersection) + predicted (union)"
"BCLAF3","predicted (union)"
"BDNF","predicted (union)"
"BDP1","predicted (intersection) + predicted (union)"
"BEAN1","predicted (union)"
"BEND2","predicted (union)"
"BEND4","predicted (intersection) + predicted (union)"
"BEND6","predicted (intersection) + predicted (union)"
"BEST3","predicted (union)"
"BET1","predicted (intersection) + predicted (union)"
"BICC1","predicted (union)"
"BICD1","predicted (intersection) + predicted (union)"
"BIN2","predicted (union)"
"BIRC3","predicted (intersection) + predicted (union)"
"BIVM","predicted (union)"
"BLID","predicted (union)"
"BLMH","predicted (intersection) + predicted (union)"
"BLOC1S5","predicted (union)"
"BLOC1S6","predicted (intersection) + predicted (union)"
"BLVRA","predicted (union)"
"BMI1","experimental (strong) + experimental (all) + predicted (union)"
"BMP2K","predicted (union)"
"BMP3","predicted (union)"
"BMP5","predicted (union)"
"BMP7","predicted (union)"
"BMP8A","predicted (union)"
"BMPER","predicted (union)"
"BMPR1B","predicted (union)"
"BMPR2","predicted (intersection) + predicted (union)"
"BNC2","predicted (intersection) + predicted (union)"
"BNIP2","predicted (union)"
"BOD1","predicted (union)"
"BOD1L2","predicted (union)"
"BOLA3","predicted (intersection) + predicted (union)"
"BORCS5","predicted (union)"
"BORCS7","predicted (union)"
"BPHL","predicted (intersection) + predicted (union)"
"BRAP","predicted (union)"
"BRCA1","predicted (union)"
"BRCC3","predicted (union)"
"BRD2","predicted (union)"
"BRD3","predicted (intersection) + predicted (union)"
"BRD7","predicted (intersection) + predicted (union)"
"BRI3BP","predicted (union)"
"BRIX1","predicted (union)"
"BRPF3","predicted (union)"
"BRWD1","predicted (intersection) + predicted (union)"
"BRWD3","predicted (intersection) + predicted (union)"
"BSDC1","predicted (union)"
"BTBD1","predicted (union)"
"BTBD7","predicted (intersection) + predicted (union)"
"BTD","predicted (intersection) + predicted (union)"
"BTF3L4","predicted (intersection) + predicted (union)"
"BTG1","predicted (union)"
"BTK","predicted (union)"
"BTLA","predicted (union)"
"BTN1A1","predicted (union)"
"BTN3A2","predicted (union)"
"BTRC","predicted (union)"
"BVES","predicted (union)"
"C10orf88","predicted (union)"
"C11orf54","predicted (union)"
"C11orf58","predicted (union)"
"C11orf65","predicted (union)"
"C11orf87","predicted (intersection) + predicted (union)"
"C11orf98","predicted (union)"
"C12orf4","predicted (intersection) + predicted (union)"
"C12orf43","predicted (union)"
"C12orf60","predicted (intersection) + predicted (union)"
"C12orf65","predicted (union)"
"C12orf66","predicted (union)"
"C12orf73","predicted (intersection) + predicted (union)"
"C14orf119","predicted (union)"
"C15orf40","predicted (union)"
"C16orf72","predicted (union)"
"C16orf87","predicted (union)"
"C17orf58","predicted (union)"
"C17orf75","predicted (union)"
"C17orf80","predicted (intersection) + predicted (union)"
"C18orf21","predicted (intersection) + predicted (union)"
"C19orf38","predicted (union)"
"C19orf44","predicted (intersection) + predicted (union)"
"C1GALT1","predicted (union)"
"C1orf116","predicted (intersection) + predicted (union)"
"C1orf141","predicted (union)"
"C1orf189","predicted (union)"
"C1orf21","predicted (intersection) + predicted (union)"
"C1orf210","predicted (union)"
"C1orf43","predicted (union)"
"C1orf52","predicted (union)"
"C1orf56","predicted (union)"
"C1orf61","predicted (union)"
"C1orf94","predicted (intersection) + predicted (union)"
"C1QL3","predicted (union)"
"C1QTNF2","predicted (union)"
"C1QTNF3","predicted (union)"
"C1QTNF7","predicted (intersection) + predicted (union)"
"C1RL","predicted (union)"
"C20orf144","predicted (union)"
"C21orf58","predicted (union)"
"C21orf91","predicted (union)"
"C2CD4A","predicted (union)"
"C2CD4C","predicted (union)"
"C2CD6","predicted (union)"
"C2orf49","predicted (union)"
"C2orf68","predicted (union)"
"C2orf69","predicted (intersection) + predicted (union)"
"C2orf72","experimental (all) + predicted (intersection) + predicted (union)"
"C2orf73","predicted (union)"
"C2orf76","predicted (union)"
"C2orf88","predicted (intersection) + predicted (union)"
"C3","predicted (union)"
"C3orf70","predicted (union)"
"C4orf33","predicted (union)"
"C4orf54","predicted (intersection) + predicted (union)"
"C5orf22","predicted (union)"
"C5orf24","predicted (intersection) + predicted (union)"
"C5orf46","predicted (intersection) + predicted (union)"
"C5orf47","predicted (union)"
"C5orf51","predicted (union)"
"C5orf63","predicted (intersection) + predicted (union)"
"C5orf64","predicted (union)"
"C6orf120","predicted (intersection) + predicted (union)"
"C6orf132","predicted (union)"
"C6orf141","predicted (intersection) + predicted (union)"
"C6orf222","predicted (union)"
"C6orf89","predicted (union)"
"C7","predicted (union)"
"C8A","predicted (intersection) + predicted (union)"
"C8orf44-SGK3","predicted (intersection) + predicted (union)"
"C8orf48","predicted (union)"
"C9orf152","predicted (intersection) + predicted (union)"
"C9orf153","predicted (intersection) + predicted (union)"
"CA13","predicted (union)"
"CA8","predicted (intersection) + predicted (union)"
"CABLES1","predicted (intersection) + predicted (union)"
"CACNA1C","predicted (intersection) + predicted (union)"
"CACNA1I","predicted (union)"
"CACNA2D1","predicted (intersection) + predicted (union)"
"CACNB2","predicted (intersection) + predicted (union)"
"CACNB4","predicted (union)"
"CACNG8","predicted (intersection) + predicted (union)"
"CACUL1","predicted (union)"
"CADM1","predicted (intersection) + predicted (union)"
"CALCOCO2","predicted (union)"
"CALCRL","predicted (union)"
"CALM3","predicted (union)"
"CALML4","predicted (union)"
"CALN1","predicted (union)"
"CALR","predicted (union)"
"CALU","predicted (union)"
"CAMK1D","predicted (union)"
"CAMK2D","predicted (union)"
"CAMK4","predicted (intersection) + predicted (union)"
"CAMLG","predicted (union)"
"CAMSAP1","predicted (union)"
"CAMSAP2","predicted (intersection) + predicted (union)"
"CAMTA1","predicted (union)"
"CAND1","predicted (intersection) + predicted (union)"
"CANX","predicted (union)"
"CAPN12","predicted (union)"
"CAPN5","predicted (intersection) + predicted (union)"
"CAPN7","predicted (union)"
"CAPRIN1","predicted (union)"
"CAPSL","predicted (union)"
"CAPZA1","predicted (union)"
"CARD6","predicted (union)"
"CARMIL1","predicted (union)"
"CASC3","predicted (union)"
"CASC4","predicted (union)"
"CASD1","predicted (union)"
"CASK","predicted (union)"
"CASP1","predicted (intersection) + predicted (union)"
"CASP10","predicted (intersection) + predicted (union)"
"CASP14","predicted (intersection) + predicted (union)"
"CASP16P","predicted (intersection) + predicted (union)"
"CASP2","predicted (union)"
"CASP3","predicted (union)"
"CASQ2","predicted (intersection) + predicted (union)"
"CASTOR3","predicted (union)"
"CAV2","predicted (union)"
"CAVIN2","predicted (intersection) + predicted (union)"
"CBL","predicted (union)"
"CBLB","predicted (intersection) + predicted (union)"
"CBLL1","predicted (union)"
"CBLN2","predicted (union)"
"CBLN3","predicted (union)"
"CBS","predicted (union)"
"CBWD1","predicted (intersection) + predicted (union)"
"CBX1","predicted (intersection) + predicted (union)"
"CBX3","predicted (intersection) + predicted (union)"
"CBX5","predicted (intersection) + predicted (union)"
"CC2D1B","predicted (union)"
"CC2D2B","predicted (union)"
"CCAR2","predicted (union)"
"CCBE1","predicted (union)"
"CCDC125","predicted (intersection) + predicted (union)"
"CCDC127","predicted (union)"
"CCDC13","predicted (union)"
"CCDC152","predicted (union)"
"CCDC157","predicted (intersection) + predicted (union)"
"CCDC170","predicted (union)"
"CCDC186","predicted (intersection) + predicted (union)"
"CCDC198","predicted (union)"
"CCDC25","predicted (union)"
"CCDC3","predicted (union)"
"CCDC34","predicted (intersection) + predicted (union)"
"CCDC38","predicted (union)"
"CCDC50","predicted (union)"
"CCDC57","predicted (union)"
"CCDC59","predicted (intersection) + predicted (union)"
"CCDC6","predicted (intersection) + predicted (union)"
"CCDC7","predicted (union)"
"CCDC71","predicted (intersection) + predicted (union)"
"CCDC80","predicted (intersection) + predicted (union)"
"CCDC9","predicted (union)"
"CCL1","predicted (union)"
"CCL20","predicted (union)"
"CCM2L","predicted (union)"
"CCN1","predicted (union)"
"CCN2","predicted (union)"
"CCN3","predicted (union)"
"CCN4","predicted (union)"
"CCNJL","predicted (union)"
"CCNL2","predicted (union)"
"CCNT1","predicted (intersection) + predicted (union)"
"CCNY","predicted (intersection) + predicted (union)"
"CCP110","predicted (union)"
"CCPG1","predicted (union)"
"CCR2","predicted (union)"
"CCS","predicted (intersection) + predicted (union)"
"CCSER1","predicted (union)"
"CCSER2","predicted (union)"
"CCT7","predicted (intersection) + predicted (union)"
"CCZ1","predicted (union)"
"CCZ1B","predicted (union)"
"CD109","predicted (union)"
"CD163","predicted (union)"
"CD1D","predicted (union)"
"CD200R1","predicted (intersection) + predicted (union)"
"CD226","predicted (union)"
"CD248","predicted (union)"
"CD28","predicted (intersection) + predicted (union)"
"CD2BP2","predicted (union)"
"CD300LG","predicted (intersection) + predicted (union)"
"CD302","predicted (intersection) + predicted (union)"
"CD320","predicted (union)"
"CD36","predicted (union)"
"CD3D","predicted (intersection) + predicted (union)"
"CD3G","predicted (union)"
"CD40","predicted (union)"
"CD47","predicted (intersection) + predicted (union)"
"CD5","predicted (union)"
"CD55","predicted (intersection) + predicted (union)"
"CD80","predicted (intersection) + predicted (union)"
"CD82","predicted (union)"
"CD83","predicted (union)"
"CD84","predicted (union)"
"CD86","predicted (union)"
