Gene	mean_raw_r_sq	best_raw_r_sq	mean_rmse	min_rmse	cor_value_R2_RMSE	cor_pvalue	cor_padj_BH	mirnaTG
ENSG00000173660.12	0.0982648097403746	0.208662628700837	0.468889676537473	0.413991336691425	-0.689291487832355	0.0274526656461924	0.508533657952612	no
ENSG00000166228.9	0.0718809977187263	0.235226572425786	0.472646880431502	0.414049448151673	-0.47911776768994	0.161192703074686	0.755582530494579	no
ENSG00000071246.11	0.0500329773361443	0.225619001222957	0.542270204811278	0.418236696103738	-0.156717830411799	0.665476223953733	0.954734960629131	no
ENSG00000174917.9	0.0780454634459235	0.224275972422132	0.460822687283874	0.420048827954406	-0.422143235766779	0.22427411113164	0.800450440998831	no
ENSG00000048162.22	0.101401104512252	0.213265394844617	0.463136751737167	0.421194041631928	-0.445952726600732	0.196430687360928	0.783863023602676	no
ENSG00000176986.16	0.160904444039491	0.342762233028895	0.534048569446986	0.422172135323555	-0.441387451624118	0.201604563814232	0.786241911991043	yes
ENSG00000196712.20	0.158055505081597	0.225788973618345	0.510680000499346	0.423814543959098	-0.590909637154925	0.0720348814102314	0.634907619054738	no
ENSG00000106268.16	0.0978013259515506	0.225811373841569	0.518490724709778	0.425569522838017	-0.516761163325909	0.126161659075282	0.711260788523261	no
ENSG00000110344.10	0.182305246617716	0.34570559538203	0.524716655065653	0.425667405498522	-0.104038610180825	0.774862964794339	0.976553830874979	no
ENSG00000135968.22	0.122571288247542	0.293743551549146	0.468475622466729	0.427103694155197	-0.508708309572956	0.133216490560294	0.720844284224737	no
ENSG00000167797.8	0.0861935880908049	0.215628577130313	0.491869502869749	0.427263129940668	-0.408827033933815	0.240771955472592	0.814404394676141	no
ENSG00000249915.9	0.135509713019488	0.309327384192323	0.488240940477187	0.429135245461159	-0.0659562459396343	0.856346723022988	0.987188255290309	no
ENSG00000160007.20	0.116734490549625	0.216720301444726	0.488173407447134	0.42931463459528	-0.142252634287715	0.695043208893624	0.961420477696046	yes
ENSG00000011405.14	0.148907962313109	0.289255380888645	0.479583906815939	0.433188746937817	-0.325021044058211	0.359483019579062	0.875110840295592	yes
ENSG00000213261.3	0.0826672652912614	0.324629253038888	0.562358644266684	0.434679614972141	-0.350304024283148	0.321022426789829	0.857478029984268	no
ENSG00000133138.20	0.107932798811442	0.282197007264789	0.569259832178585	0.43610865312609	-0.651033713387894	0.0414645076710851	0.554333967667596	no
ENSG00000244313.3	0.0886400757580805	0.226801199434826	0.542440320304403	0.442317029826216	-0.774440715073162	0.00853811674258942	0.354588585390839	no
ENSG00000121903.15	0.133348618013458	0.21483821781778	0.48459981347881	0.444209753864375	-0.361390658186475	0.304866192494177	0.851590711886113	no
ENSG00000155304.6	0.106000675003675	0.241811773792997	0.507810678134836	0.444765010265301	-0.461145489268075	0.179776306455296	0.769758852758984	no
ENSG00000185278.16	0.148946033779195	0.224314377225958	0.540140222196818	0.445521536460205	-0.403071878412902	0.24810667541257	0.819009879144158	no
ENSG00000235065.1	0.115639634813091	0.219494509290996	0.54579526041102	0.447296715303567	-0.210220145183842	0.559932464123467	0.93481584334208	no
ENSG00000164961.16	0.05497736067474	0.201104840766837	0.529138581799283	0.448169079312388	-0.193310902336571	0.592583429171989	0.941621030283031	no
